0.735439	0.982638	0.017362	0.000000	0.000000	0.000000	0.000000
0.636591	0.998979	0.001021	0.000000	0.000000	0.000000	0.000000
0.690081	0.999924	0.000076	0.000000	0.000000	0.000000	0.000000
0.721291	0.999979	0.000021	0.000000	0.000000	0.000000	0.000000
0.635327	0.999997	0.000003	0.000000	0.000000	0.000000	0.000000
0.727939	0.999996	0.000003	0.000000	0.000000	0.000000	0.000000
0.539435	0.999998	0.000002	0.000000	0.000000	0.000000	0.000000
0.630848	0.999999	0.000001	0.000000	0.000000	0.000000	0.000000
0.667005	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.662939	0.009018	0.000000	0.575760	0.331979	0.068378	0.014865
0.209061	0.334042	0.168753	0.310608	0.167790	0.015448	0.003358
0.346625	0.179873	0.087489	0.442303	0.257720	0.026801	0.005814
0.256147	0.046975	0.038752	0.530921	0.342813	0.033305	0.007234
0.201786	0.546389	0.453611	0.000000	0.000000	0.000000	0.000000
0.572097	0.537181	0.462819	0.000000	0.000000	0.000000	0.000000
0.694068	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.684268	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.610810	0.007714	0.030898	0.558602	0.322042	0.066326	0.014419
0.243314	0.001382	0.004184	0.598918	0.360736	0.028568	0.006211
0.230522	0.001534	0.002064	0.601405	0.355369	0.032552	0.007077
0.212612	0.013946	0.012324	0.568803	0.359791	0.037076	0.008060
0.232665	0.549988	0.450012	0.000000	0.000000	0.000000	0.000000
0.694202	0.550274	0.449726	0.000000	0.000000	0.000000	0.000000
0.643420	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.716173	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.743433	0.003470	0.013898	0.570945	0.329158	0.067792	0.014737
0.259720	0.000026	0.000058	0.602265	0.362786	0.028639	0.006226
0.189312	0.000125	0.000104	0.603445	0.356578	0.032651	0.007098
0.190301	0.013945	0.011413	0.546625	0.380307	0.039190	0.008520
0.259871	0.549953	0.450047	0.000000	0.000000	0.000000	0.000000
0.626303	0.550336	0.449664	0.000000	0.000000	0.000000	0.000000
0.575861	0.543920	0.456080	0.000000	0.000000	0.000000	0.000000
0.736985	0.526978	0.473022	0.000000	0.000000	0.000000	0.000000
0.669859	0.192996	0.773056	0.019725	0.011372	0.002342	0.000509
0.367956	0.001083	0.012288	0.572887	0.331362	0.067669	0.014711
0.163213	0.002205	0.004305	0.618193	0.342583	0.026872	0.005842
0.237707	0.022649	0.027184	0.625481	0.288502	0.029723	0.006462
0.261308	0.002318	0.002466	0.567538	0.380008	0.039158	0.008512
0.163084	0.010351	0.008466	0.379043	0.534991	0.055157	0.011991
0.170576	0.077546	0.063861	0.155985	0.624182	0.064421	0.014005
0.217094	0.289533	0.139435	0.062616	0.451535	0.046724	0.010157
0.250813	0.667163	0.305522	0.002439	0.022036	0.002334	0.000506
0.294103	0.430385	0.447495	0.069426	0.042124	0.008682	0.001887
0.224587	0.386290	0.539486	0.045244	0.023170	0.004773	0.001038
0.183913	0.001116	0.973543	0.014885	0.008360	0.001721	0.000374
0.279349	0.000737	0.999262	0.000000	0.000000	0.000000	0.000000
0.532605	0.002692	0.997308	0.000000	0.000000	0.000000	0.000000
0.675884	0.014261	0.985739	0.000000	0.000000	0.000000	0.000000
